I need an answer.	Necesito una respuesta.
She helped him.	Ella le ayudó.
I know you'll win.	Sé que ganarás.
There's something else.	Hay algo más.
Get lost!	¡Piérdete!
Tom called you.	Tom te llamó.
Don't respond.	No respondas.
I'm still sleepy.	Aún tengo sueño.
They work for me.	Trabajan para mí.
Tom needs water.	Tom necesita agua.
I like him.	Él me gusta.
What do you want?	¿Qué quiere usted?
I'll take him.	Lo llevaré.
Give me a sec.	Dame un segundo.
Tom will try.	Tom lo intentará.
I have three dogs.	Tengo tres perros.
She blushed.	Se puso colorada.
Here you are.	Toma.
Go now.	Id ya.
I misled Tom.	Yo engañé a Tom.
I will be back soon.	Volveré pronto.
I'll drive to Boston.	Conduciré hasta Boston.
We had an accident.	Tuvimos un accidente.
He was standing.	Él estaba de pie.
Did you help?	¿Ayudabais?
Don't shout.	No grites.
Tom danced.	Tomás bailó.
There's no problem.	No hay ningún problema.
Tom likes it.	A Tom le gusta.
She betrayed you.	Ella te traicionó.
Tom drove.	Tomás condujo.
Didn't you see that?	¿No viste eso?
Tom rescued Mary.	Tom rescató a Mary.
We didn't break up.	No terminamos.
You'd better start now.	Mejor empieza ya.
I sat back down.	Volví a sentarme.
Tom's a klutz.	Tom es torpe.
I'll see you there.	Te veré allá.
I'm not serious.	No voy en serio.
I screamed for help.	Grité pidiendo ayuda.
Leave my things alone.	Deja mis cosas.
You're intelligent.	Eres inteligente.
Are you going along?	¿Vas a seguir?
This is ugly.	Esto es feo.
Show me some others.	Mostrame otros.
Tom fell asleep.	Tom se cayó dormido.
It happened.	Pasó.
What's a UFO?	¿Qué es un OVNI?
Don't do it.	¡No lo hagáis!
It's your decision.	Es tu decisión.
Tom's mean.	Tom es malo.
What caused that?	¿Qué causó eso?
I wasn't careful.	No fui preocupado.
I could try.	Podría intentarlo.
Correct it.	Corrígelo.
I have tuberculosis.	Tengo tuberculosis.
They were wrong.	Estaban equivocadas.
Tom felt fine.	Tom se sintió bien.
I already apologized.	Ya me disculpé.
Nobody hugged Tom.	Nadie abrazó a Tom.
Tom needs money.	Tom necesita dinero.
He'll wait for you.	Él te esperará.
Give it a whirl.	Intenta algo.
I'm in a bad mood.	Estoy rayado.
You can come.	Puedes venir.
They have come.	Ellos han venido.
It's broken.	Está rota.
Keep me informed.	Manténgame informado.
They're useless.	Son inútiles.
Evil always wins.	El mal siempre triunfa.
You are very smart.	Sos muy listo.
Please fix this.	Por favor, arregle esto.
Come outside.	Sal fuera.
How's the dog?	¿Cómo está el perro?
Now try to sleep.	Ahora intente dormir.
Tom loves reading.	Tom ama leer.
Are we friends?	¿Somos amigos?
It happened yesterday.	Ocurrió ayer.
I found the keys.	Encontré las llaves.
No way!	¡Imposible!
Who invented that?	¿Quién inventó eso?
Call this number.	Llama a este número.
Tom writes books.	Tom escribe libros.
We can meet.	Podemos encontrarnos.
Tom laughed.	Tom se rio.
That's impossible.	Eso es imposible.
I'm free now.	Ahora estoy libre.
Tell me what happened.	Dime qué ocurrió.
We think alike.	Estoy de acuerdo.
They had good chemistry.	Tenían buena química.
You're boring me.	Me aburres.
Tom babysat Mary.	Tom cuidó de Mary.
Write that down.	Anotad eso.
I'll teach you French.	Te enseñaré francés.
It's nice.	Es agradable.
Men are greedy.	Los hombres son avariciosos.
I'll need that.	Lo necesito.
I can hardly swim.	Apenas puedo nadar.
It's boring.	Es aburrido.
I'm hungry!	Me pica el bagre.
Yours are better.	Los vuestros son mejores.
We're looking for him.	Lo estamos buscando.
Tom got shot.	A Tom le dispararon.
It was exciting.	Fue emocionante.
Let's continue.	Continuemos.
I'll assist you.	Te voy a ayudar.
Tom's upset.	Tom está disgustado.
I wanted to tell you.	Quería decírtelo.
Tom seems intelligent.	Tom parece inteligente.
There's no sugar.	No hay azúcar.
We're all friends.	Todos somos amigos.
Can you walk?	¿Puedes caminar?
We've got no brakes!	¡No tenemos frenos!
That's completely false.	Eso es completamente falso.
I demand a recount.	Exijo un recuento.
That's the law.	Así dice la ley.
I painted my car.	Pinté mi coche.
Tom fell.	Tom se cayó.
They're scared.	Tienen miedo.
You don't scare me.	No me asustás.
I hired Tom.	Contraté a Tom.
I can start tomorrow.	Puedo empezar mañana.
Do you study French?	¿Estudias el francés?
I'm overwhelmed.	Estoy abrumado.
They're friends.	Son amigos.
I'm bringing wine.	Traigo vino.
I accepted her invitation.	Acepté su invitación.
Yesterday was cloudy.	Ayer estuvo nublado.
We had breakfast.	Desayunamos.
You work too hard.	Trabajas muy duro.
Tom writes well.	Tom escribe bien.
They will come.	Vendrán.
There's no mistake.	No hay ningún error.
You survived.	Usted sobrevivió.
Call me this evening.	Llámame esta noche.
That would be dangerous.	Eso sería peligroso.
I love butterflies.	Me encantan las mariposas.
I'm a biologist.	Soy biólogo.
Shame on you!	¡Qué vergüenza!
Delete that picture.	Borrá esa foto.
It makes sense now.	Ahora tiene sentido.
Put it down.	Bájalo.
Rejection hurts.	El rechazo duele.
Tom was hesitant.	Tom estaba dudando.
No one's working.	Nadie está trabajando.
Tom is old-fashioned.	Tom es anticuado.
I'll pay anything.	Pagaré cualquier cosa.
Look at that.	Mira eso.
I hear you.	Te oigo.
Tom's alert.	Tom está alerta.
Deeds, not words.	Hechos, no palabras.
Put it there.	Pónganlo allí.
I was exaggerating.	Estaba exagerando.
I'm kidding.	Estoy jodiendo.
You guys are sweet.	Sois adorables.
We like games.	Nos gustan los juegos.
I was lonely.	Yo me encontraba solo.
They're yellow.	Están amarillos.
Embrace your dreams.	Abraza tus sueños.
Look at that mountain.	Mirá esa montaña.
Tom wasn't alone.	Tom no estaba solo.
It hurts here.	Aquí duele.
Don't leave us.	No nos deje.
It was overcast yesterday.	Ayer estuvo nublado.
He seems tired.	Él parece cansado.
They're our friends.	Ellos son nuestros amigos.
Now I remember.	Ahora lo recuerdo.
Tom was throwing up.	Tom estaba vomitando.
Let me go.	¡Déjeme ir!
Is there another exit?	¿Hay otra salida?
Nobody knew.	Nadie lo sabía.
You've got me.	Me tienen a mí.
They're watching.	Están mirando.
You're not stupid.	No sos estúpido.
Add up these figures.	Haz estos cálculos.
It looks fine.	Se ve correcto.
Tom is conservative.	Tom es conservador.
You're babbling.	Tú estás farfullando.
Schools were built.	Se construyeron escuelas.
They remained silent.	Se callaron.
Light the candle.	Encienda la candela.
That's his.	Eso le pertenece a él.
Try and calm down.	Intenta tranquilizarte.
I am downloading books.	Estoy descargando libros.
Cherries are red.	Las cerezas son rojas.
When did they go?	¿Cuándo se fueron?
I hate my eyebrows.	Odio mis cejas.
I saw that.	Lo vi.
Look it up.	Búsquenlo.
Didn't you go out?	¿No habías salido?
I need more.	Quiero más de eso.
I've already showered.	Ya me he duchado.
He's studying now.	Él está estudiando.
That's my beer.	Esa es mi cerveza.
Do you wear contacts?	¿Llevas lentillas?
Will you help me?	¿Me ayudarás?
You lost.	Perdisteis.
They're wonderful.	Son maravillosos.
Look at it.	Contémplalo.
You're first.	Tú vas primero.
Tom is a bachelor.	Tom es soltero.
Tom looks rich.	Tom parece rico.
I lack experience.	Carezco de experiencia.
They're mistaken.	Están equivocados.
We have two sons.	Tenemos dos hijos.
My lungs hurt.	Me duelen los pulmones.
Think for yourself.	Piensa por ti mismo.
Let's talk seriously.	Hablemos con formalidad.
I fainted.	Quedé inconsciente.
Please sit.	Por favor, sentaos.
They don't want it.	No lo quieren.
Where can we go?	¿Adónde podemos ir?
We did everything together.	Hicimos todo juntos.
I'm not working today.	Hoy no trabajo.
I have many abilities.	Tengo mucho talento.
You're ugly.	Sos fea.
Throw the dice.	Tira el dado.
I imagined that.	Me imaginé eso.
It was fabulous.	Estaba fabuloso.
Are you studying?	¿Estás estudiando?
Tom wants this one.	Tom quiere éste.
Please take a bath.	Por favor bañate.
I work with him.	Trabajo con él.
I'm leaving.	Me voy.
Look away.	Mirá para otro lado.
Try it once again.	Hazlo otra vez.
Tom's angry.	Tom está furioso.
Tom wasn't interested.	Tom no estaba interesado.
You should've introduced yourself.	Deberías haberte presentado.
I'm left-handed.	Soy zurdo.
I hear voices.	Escucho voces.
Spelling is fun.	La ortografía es divertida.
I accept your apologies.	Acepto tus disculpas.
Keep still.	Mantente quieto.
Nothing got ruined.	Nada quedó arruinado.
The bridge collapsed.	El puente se derrumbó.
Tom is missing.	Falta Tomás.
Tom felt happy.	Tom se sintió feliz.
It's incredible.	¡Increíble!
I was fired.	Fui despedido.
Are you satisfied?	¿Estás satisfecho?
Who's your friend?	¿Quién es tu amigo?
I chew gum.	Mastico chicle.
Tom listened attentively.	Tom escuchaba con atención.
Do you believe that?	¿Lo creéis?
We succeeded.	Lo logramos.
He is English.	Es inglés.
Tom was ready.	Tom estaba preparado.
We're watching.	Observamos.
Come and look.	Venid y observad.
I'm missing one.	Me falta uno.
Stay.	Quédate.
What time is it?	¿Qué hora tienes?
That's a fake.	Ese es falso.
Give me your address.	Dame tu dirección.
I purchased one bag.	Compré una bolsa.
Tom contacted Mary.	Tom contactó a Mary.
You're sloshed.	Estás borracho.
I'll give it back.	Lo devolveré.
I have no fever.	No tengo fiebre.
We must continue.	Debemos continuar.
You seem tired.	Pareces cansada.
What about me?	¿Qué hay de mí?
I'll warn Tom.	Alertaré a Tom.
They're eggs.	Son huevos.
It's done!	¡Está listo!
Let them come in.	Déjalos entrar.
It could be expensive.	Puede ser costoso.
We're having lunch here.	Estamos almorzando aquí.
You're going to die.	Vas a morir.
We don't understand it.	No lo entendemos.
Return immediately.	Vuelve inmediatamente.
Come quick!	Ven deprisa.
Do those insects sting?	¿Esos insectos pican?
You're wrong.	Estás equivocado.
I like French.	Me gusta el francés.
Keep walking.	Seguí caminando.
He just arrived.	Acaba de llegar.
I'm good at skiing.	Soy bueno esquiando.
I lost my key.	Perdí mi llave.
Turn on your headlights.	Pon los faros.
They can't fire you.	No pueden despedirle.
Copy this, please.	Copia esto, por favor.
Tom eventually retired.	Tom finalmente se retiró.
We enjoyed swimming.	La pasamos bien nadando.
It didn't last long.	No duró mucho.
They're very poor.	Ellos son muy pobres.
It's started again.	Ha vuelto a empezar.
It's not cold.	No hace frío.
It wasn't difficult.	No fue difícil.
Where are they?	¿Dónde están?
Take command.	Toma el control.
We've forgiven you.	Te hemos perdonado.
Tom can't come.	Tom no puede venir.
I'll cook.	Yo guisaré.
Are they brothers?	¿Son ellos hermanos?
Tom needs answers.	Tom necesita respuestas.
What is she like?	¿Cómo es ella?
Tom watched Mary.	Tom observó a Mary.
He is bankrupt.	Él está arruinado.
It's very relaxing.	Es muy relajante.
What's that for?	¿Para qué vale eso?
They loaded the truck.	Cargaron el camión.
We ditched Tom.	Abandonamos a Tom.
I love to teach.	Me encanta enseñar.
Tom has freckles.	Tom tiene pecas.
Keep on trying.	Sigue intentando.
I understand you.	Te entiendo.
I need to see it.	Necesito verlo.
Tom will cook.	Tom cocinará.
How complex is it?	¿Qué complejidad tiene?
I'll be back later.	Volveré luego.
Tom is ridiculous.	Tom es ridículo.
He's a bodybuilder.	Es un culturista.
You're weak.	Sois débiles.
I am weak.	Estoy débil.
I'm pretty blind.	Estoy cegato.
Take care of yourselves!	¡Cuídense!
Step forward.	Da un paso al frente.
I hate my job.	Odio mi trabajo.
Where should we meet?	¿Dónde deberiamos encontrarnos?
I'm like you.	Soy como vosotras.
It's snowing heavily.	Está nevando mucho.
Be strong.	Sé fuerte.
Tom is harsh.	Tom es cruel.
Tom died young.	Tom murió joven.
Let's stay in touch.	Estamos al habla.
Who's complaining?	¿Quién se está quejando?
I don't mind.	No me importa.
Is that yours?	¿Es ésa tuya?
Dig quickly.	Cava rápido.
You're gorgeous.	Estás preciosa.
Who was right?	¿Quién tenía razón?
They're our friends.	Son nuestros amigos.
You're an idiot.	Eres idiota.
I can't believe it.	No puedo creerlo.
Keep your hands up.	Levanta las manos.
Nobody is hungry.	Nadie tiene hambre.
Who do you suspect?	¿De quién sospechas?
Here comes Tom.	Aquí viene Tom.
How can I help?	¿Cómo puedo ayudar?
I'll do it.	Lo haré.
They're absolutely right.	Tienen toda la razón.
Now move on.	Ahora prosigue.
They were victorious.	Salieron victoriosos.
We're all students.	Todos somos estudiantes.
You will wait.	Esperarás.
Are you absolutely positive?	¿Estás completamente seguro?
I was impressed.	Estaba impresionada.
Tom is friendly.	Tom es amistoso.
I was expecting it!	¡Me lo esperaba!
He is not there.	No está ahí.
You look baffled.	Pareces sorprendido.
You'll never find it.	Nunca lo encontrarás.
Tom'll call.	Tom llamará.
Women loved it.	Las mujeres lo adoraron.
I'm sleeping.	Estoy durmiendo.
OK, listen up.	Bueno, escucha.
Let's ask him.	Preguntémosle.
Tom seemed lost.	Tomás parecía perdido.
Make your choice.	Haz tu elección.
I have time.	Tengo tiempo.
Do you have experience?	¿Tiene experiencia?
I found you.	Te encontré.
We'd better wait.	Es mejor que esperemos.
They look bored.	Ellos parecen aburridos.
I am better.	Soy mejor.
Leave everything.	Déjenlo todo.
He talks too much.	Él habla demasiado.
It seems very interesting.	Parece muy interesante.
Stay alert.	¡Mantente alerta!
Tom is forgetful.	Tom es olvidadizo.
I like him.	Me gusta él.
Weren't you amused?	¿No estabas entretenido?
No one's picking up.	No atiende nadie.
Tom slipped.	Tom se resbaló.
They'll be fine.	Estarán estupendamente.
You're always around.	Siempre andas alrededor.
Everybody is alive.	Todos están vivos.
Are you guys crazy?	¿Estáis tontos?
Are you uncomfortable?	¿Está usted molesto?
I saw him.	Le vi.
I'm homeschooled.	Me enseñan en casa.
Tom is heavy.	Tom es pesado.
I've been summoned.	Fui convocado.
Count on me.	Cuenta conmigo.
You're gorgeous.	Estás muy guapa.
I'm weak.	Estoy débil.
Can't it wait?	¿No puede esperar?
Check around.	Revisa a nuestro alrededor.
Hurry up, Tom.	Date prisa, Tom.
Don't you feel anything?	¿No sientes nada?
Do you drink coffee?	¿Bebéis café?
Tom tries.	Tomás lo intenta.
Do you know them?	¿Les conocéis?
Tom isn't working.	Tom no está funcionando.
I'm going to start.	Voy a empezar.
Dogs are smart.	Los perros son listos.
You know everything.	Sabes todo.
They're interns.	Son becarios.
I'll never understand.	Nunca lo entenderé.
Are you satisfied now?	¿Estás contenta ahora?
You aren't stupid.	No eres estúpida.
I'm just beginning.	Solo estoy comenzando.
He lacks experience.	Le falta experiencia.
There's a table.	Hay una mesa.
I'll be ready.	Estaré preparada.
We're sloshed.	Estamos borrachos.
Don't go in there.	No entres ahí.
Dancing is prohibited.	Está prohibido bailar.
Tom knows us.	Tom nos conoce.
Attack!	¡Ataquen!
We won the battle.	Ganamos la batalla.
Come with us.	Ven con nosotras.
Give Tom a call.	¡Llámenlo a Tomás!
Please correct that.	Corrija eso por favor.
I am so devastated.	Estoy tan devastado.
I went aboard.	Yo subí a bordo.
How do you plead?	¿Cómo se declara?
Look closely.	Mira de cerca.
I accept that challenge.	Acepto ese desafío.
They claim they're Canadians.	Dicen ser canadienses.
Who's that boy?	¿Quién es ese chico?
Anyone hurt?	¿Alguien está herido?
Tom is undressing.	Tom se está desvistiendo.
I want to explain.	Quiero explicar.
I'm new here.	Soy nuevo aquí.
Say cheese.	Decid güisqui.
Thank you ever so much.	Muchísimas gracias.
Throw it to Tom.	Tíraselo a Tom.
I am old.	Estoy viejo.
It might happen.	Podría suceder.
Dolphins are curious.	Los delfines son curiosos.
Tom belongs here.	Tomás es de aquí.
How's the wife?	¿Cómo está tu mujer?
We'll see.	Ya veremos.
I drive a convertible.	Conduzco un descapotable.
You're freaky.	Tú eres raro.
Everyone likes you.	A todos les agradas.
How disgusting!	¡Qué asco!
I'm a loser.	Soy una perdedora.
You're afraid of him.	Le tienen miedo.
Come anytime.	Ven alguna vez.
It's raining very hard.	Está lloviendo mucho.
Did that really happen?	¿Eso realmente sucedió?
Tom succeeded.	Tom tuvo éxito.
I like pizza.	Me gusta la pizza.
I called home.	Yo llamé a casa.
They're my friends.	Ellos son mis amigos.
That's her.	Ésa es ella.
He kicked it.	Él lo pateó.
I remember that speech.	Recuerdo ese discurso.
What's so funny?	¿Qué es tan gracioso?
He's lying.	Él está mintiendo.
I meant to tell you.	Quería decírtelo.
Tom was inconsiderate.	Tom fue desconsiderado.
Anybody in here?	¿Hay alguien aquí?
You're interfering.	Estáis interfiriendo.
Please go.	Por favor, váyase.
Can you believe that?	¿Puedes creer eso?
They're nice.	Están bien.
Write it down.	Apúntatelo.
What are you doing?	¿Qué haces?
I felt dumb.	Me sentí estúpido.
I'm happy.	Estoy feliz.
Do you speak English?	¿Hablas...inglés?
Go on in.	Entren.
Are you good at cooking?	¿Cocinas bien?
I'm not crazy.	No estoy loca.
Put on your pajamas.	Ponte pijama.
I do understand.	Claro que lo entiendo.
What will you say?	¿Qué dirás?
I was dumbstruck.	Me quedé pasmado.
I can't eat.	No puedo comer.
They're too close.	Están demasiado cerca.
What did you say?	¿Qué dijo?
Can it be fixed?	¿Se puede arreglar?
We caught the thief.	Agarramos al ladrón.
We got ready.	Nos preparamos.
Just throw it away.	Simplemente tíralo.
That was my mistake.	Yo me equivoqué.
It's a fish.	Es un pez.
What about us?	¿Qué hay de nosotros?
I smoke cigarettes.	Fumo cigarrillos.
I'm unemployed.	Estoy en paro.
They almost died.	Casi se mueren.
Does anybody know him?	¿Alguien lo conoce?
Let's do it this way.	Hagámoslo así.
You're shivering.	Estás temblando.
He appeared young.	Él parecía joven.
I live here.	Vivo aquí.
I'll go in.	Entraré.
I've heard enough.	He oído suficiente.
There's one left.	Queda uno.
No one lives here.	Nadie vive aquí.
Let me go alone.	Déjame ir solo.
It was on sale.	Estaba en venta.
I saw an airplane.	Vi un avión.
Stop yelling at me.	Para de gritarme.
Isn't that terrific?	Impactante, ¿eh?
Don't tempt me.	No me tientes.
He went fishing.	Él fue a pescar.
Tom is mad.	Tom está loco.
Tom hasn't changed.	Tomás no ha cambiado.
I talk a lot.	Hablo mucho.
He is a golfer.	Él es golfista.
That dog jumped.	Esa perra saltó.
We won the battle.	Ganamos la lucha.
That's not funny.	Eso no es gracioso.
Just take one.	Coja solo una.
I've got problems.	Tengo problemas.
You'll never be alone.	Nunca estarás sola.
Let's get a cab.	Tomemos un taxi.
I'm in charge.	Estoy a cargo.
I won!	¡He ganado!
Draw a picture of it.	Dibújelo.
Can you see?	¿Podéis ver?
Are you twins?	¿Son gemelos?
Don't throw stones.	No tires piedras.
She breathed deeply.	Ella respiró profundamente.
Come over.	Venid aquí.
Be merciless.	Sé despiadado.
He was busy.	Él estaba ocupado.
I killed the mosquito.	Maté el mosquito.
Hey, come here.	Oye, ven aquí.
You should leave immediately.	Deberías irte inmediatamente.
Tom won.	Tom ganó.
Go away!	¡Largo!
Break it down.	Derríbalo.
You'll recover.	Te recuperarás.
Tom looks tense.	Tom parece tenso.
I wasn't ready.	No estaba listo.
She kicked him.	Ella lo pateó.
It's a conspiracy.	Es una conspiración.
Tell the truth.	Decí la verdad.
Can you open this?	¿Puede abrir esto?
I'm going now.	Ahora voy.
Give me my cane.	Dame mi bastón.
Solve the problem.	Resuelva el problema.
We're confident.	Estamos seguros.
You are dreaming.	Estás soñando.
It could get worse.	Podría empeorar.
I appreciate your help.	Aprecio tu ayuda.
I'm not certain.	No estoy segura.
I don't understand you.	No os entiendo.
Will you come back?	¿Vas a volver?
She is dead.	Ella está muerta.
Tom was daydreaming.	Tom estaba soñando despierto.
Everyone's dead.	Todos están muertos.
Tom looked up.	Tom miró hacia arriba.
Tom read a lot.	Tom leyó mucho.
You missed.	Fallaste.
I'll give you a ride.	Te llevo.
I'm your friend.	Soy tu amigo.
That's my boy.	Ése es mi chico.
They don't despise you.	No te detestan.
Tom was humiliated.	Tom fue humillado.
I need to pay.	Yo necesito pagar.
Do you have money?	¿Tienes dinero?
We are his children.	Somos sus hijos.
Didn't anyone follow you?	¿Nadie te siguió?
It was too small.	Era demasiado pequeño.
You should shower.	Deberías ducharte.
Let's start again.	Recomencemos.
Good night, Tom.	Buenas noches, Tom.
I helped her.	Yo la ayudé.
Head south.	Ve al sur.
I'm terribly sorry.	Lo siento de verdad.
It's too large.	Es demasiado grande.
Why did you cry?	¿Por qué lloraste?
That's his specialty.	Es su especialidad.
He's a junior employee.	Él es cadete.
I made her happy.	La hice feliz.
Try to remain calm.	Estate tranquila.
I was totally dumbfounded.	Estaba completamente consternado.
He shaved.	Él se afeitó.
They tortured Tom.	Ellas torturaron a Tom.
I'll change.	Cambiaré.
Stop overreacting.	Dejá de exagerar.
I am a translator.	Soy un traductor.
I want a divorce.	Quiero divorciarme.
Rephrase the question.	Reformule la pregunta.
That'll change.	Cambiará.
What about today?	¿Qué tal hoy?
Don't you think so?	¿No lo crees?
He's getting old.	Está envejeciendo.
This worries me.	Esto me preocupa.
Are you bored?	¿Estás aburrido?
Send it by mail.	Envíalo por correo.
Wait for me, guys.	Esperadme, chicos.
Tom is ambidextrous.	Tom es ambidiestro.
I rang the doorbell.	Toqué el timbre.
Don't say that.	No digas eso.
You have one minute.	Tenés un minuto.
I want your opinion.	Quiero vuestra opinión.
I need a stamp.	Necesito un sello.
Be watchful.	Estate atento.
She's dieting.	Está a dieta.
Tom didn't ask.	Tom no preguntó.
We've been trying.	Hemos estado probando.
That's pretty normal.	Eso es bastante normal.
I'm tired.	Yo estoy cansado.
Does it taste okay?	¿Sabe bien?
What do you feel?	¿Qué sentís?
I'll be done soon.	Enseguida acabo.
They are Christians.	Ellos son cristianos.
I never oversleep.	Nunca me quedo dormido.
Listen to this.	Escuchá esto.
Red is better.	El rojo es mejor.
Tom described Mary.	Tom describió a Mary.
Anyone can do it.	Cualquiera puede hacerlo.
I won't lose!	¡No voy a perder!
Is that important?	¿Es importante?
I did just fine.	Lo hice perfectamente.
Do you read me?	¿Me copias?
I needed that job.	Necesitaba ese trabajo.
Tom is drowning!	¡Tom se está ahogando!
Face facts!	¡Enfréntate a los hechos!
I wept.	Lloraba.
Have you lost weight?	¿Has perdido peso?
You seem unreliable.	Tú pareces poco formal.
You can't leave me.	No puedes dejarme.
Please don't argue.	Por favor, no discuta.
Somebody's here.	Hay alguno aquí.
I'm trying.	Lo estoy intentando.
I'll check my schedule.	Revisaré mi horario.
Help me push it.	Ayúdame a empujarlo.
They're typical youngsters.	Típicos adolescentes.
They all left.	Todos se fueron.
I need a volunteer.	Necesito un voluntario.
Sorry to bother you.	Perdón por molestarte.
Does Tom live here?	¿Tom vive aquí?
Does this hurt?	¿Le duele esto?
Take Tom outside.	Saquen a Tom.
You may park here.	Puede estacionar aquí.
She runs.	Ella corre.
Be fair.	Sé justo.
I don't accept it.	No lo acepto.
He loves music.	Adora la música.
We weren't fighting.	No nos peleábamos.
Leave Tom.	Déjalo a Tomás.
There's nothing there.	Allí no hay nada.
Tom is dead.	Tom está muerto.
I leave this afternoon.	Salgo esta tarde.
I should know that.	Debería saberlo.
That explains a lot.	Eso aclara mucho.
It's getting late.	Se está haciendo tarde.
Pay attention to me.	Préstame atención.
That's evident.	Es evidente.
Tom drank too much.	Tom bebió demasiado.
Give it to him.	Dáselo.
I am human.	Yo soy humano.
Lower your voice.	Bajen la voz.
I'm panicked.	Estoy aterrorizado.
You let Tom down.	Defraudaste a Tom.
You're a liar.	Sos un mentiroso.
I listened carefully.	Escuché atentamente.
Tom left.	Tom se fue.
I saw them.	Las vi.
Don't be ridiculous.	No seas ridícula.
I'm jealous.	Estoy celoso.
They all watched.	Todos observaron.
I've lost my wallet.	Perdí mi billetera.
It'll grow back.	Volverá a crecer.
Fill up the tank.	Llena el depósito.
Aren't you convinced?	¿No estás convencido?
You need a job.	Necesitas un trabajo.
Today isn't Monday.	Hoy no es lunes.
Tom is coming.	Tomás está viniendo.
We had doubts.	Teníamos dudas.
You're glowing.	Se te ve satisfecho.
Let's not exaggerate.	No exageremos.
It won't work.	No servirá.
Hey, don't go.	Oiga, no vaya.
I own a horse.	Poseo un caballo.
I've seen that.	Lo he visto.
Great! We'll go together.	¡Excelente! Iremos juntos.
We're not sure.	No estamos seguros.
He's smart.	Él es inteligente
Tom helps us.	Tom nos ayuda.
Did you lose something?	¿Perdiste algo?
Take the medicine.	Toma la medicina.
That would be absurd.	Eso sería ridículo.
My neck hurts.	Me duele el cuello.
I forgot it.	Lo olvidé.
Are you a foreigner?	¿Eres extranjero?
I sometimes stutter.	A veces tartamudeo.
I'm to blame.	Es culpa mía.
How're you doing?	¿Qué tal te va?
These are great.	Éstos son geniales.
You lost.	Han perdido ustedes.
It happens sometimes.	A veces pasa.
They're still young.	Todavía son jóvenes.
Look into it.	Investígalo.
Don't do this.	No lo hagas.
Pull it open.	Ábrela.
They look happy.	Se ven felices.
Everything's changing.	Todo está cambiando.
I'm already ready.	Ya estoy preparado.
Why did you ask?	¿Por qué preguntaste?
That's the law.	Esta es una ley.
I wasn't unlucky.	Yo no era desafortunado.
Look here.	Mira aquí.
He doesn't run.	Él no corre.
That's evident.	Está claro.
You're rich.	Eres rico.
Tom will come tomorrow.	Tom vendrá mañana.
I'd like some shoes.	Quisiera unos zapatos.
He's very intelligent.	Él es muy inteligente.
When are you busy?	¿Cuándo estás ocupado?
Walls have ears.	Las paredes oyen.
Take my car.	Llévate mi coche.
Who's my teacher?	¿Quién es mi profesor?
I refused to pay.	Yo rehusé pagar.
Everything went smoothly.	Todo anduvo bien.
Tom spoke French.	Tom habló en francés.
Ignore them.	Ignoralos.
Can you clarify that?	¿Podés aclararlo?
You're a blabbermouth.	Eres un bocazas.
We followed Tom.	Seguimos a Tom.
Tell him to wait.	Dile que espere.
Let me help you.	Déjame ayudarte.
Tom's not breathing.	¡Tom no respira!
Never trust Tom.	Nunca confíes en Tom.
You should be studying.	Deberías estar estudiando.
Write in ink.	Escribe con tinta.
Let me finish.	Déjame terminar.
Have you missed me?	¿Me extrañaste?
I can go.	Puedo ir.
Have a croissant.	Toma un cruasán.
I can't stop her.	No puedo detenerla.
Did you call Tom?	¿Llamaste a Tom?
Dinner smells delicious.	La cena huele delicioso.
Don't shoot!	¡No disparen!
Tom is intoxicated.	Tom está borracho.
Was he Tom?	¿Era ése Tom?
I bought it.	Lo he comprado.
We're guinea pigs.	Somos conejillos de Indias.
Let's try it again.	Intentémoslo otra vez.
Let's play volleyball.	Juguemos al voleibol.
Listen.	Escucha.
I haven't started.	No he empezado.
That's so funny.	Eso es muy gracioso.
I don't get it.	No lo cojo.
We make decisions together.	Tomamos decisiones juntos.
They are great friends.	Son grandes amigos.
Fill out this form.	Complete este formulario.
I'm begging you.	Te estoy implorando.
I just gave up.	Sencillamente me rendí.
They may come.	Puede que vengan.
Don't call me.	No me llame.
We didn't discuss it.	No lo discutimos.
Let's quit.	Desistamos.
You have wine.	Tienes vino.
Bring him to me.	Tráemelo.
The weather's terrible.	El clima está horrible.
Come with us.	Venga con nosotros.
Catch him.	Atrápenlo.
We both cried.	Los dos lloramos.
It's quite good.	Es bien bueno.
Tom cheated Mary.	Tom engañó a Mary.
I'm listening to music.	Estoy escuchando música.
It started to snow.	Empezó a nevar.
They're identical.	Son idénticos.
They're already here.	Ya están aquí.
Who contributed?	¿Quién ayudó?
I love that story.	Adoro esa historia.
Are you the manager?	¿Eres el gerente?
They speak French.	Ellos hablan francés.
Show me the money.	Muéstrenme el dinero.
Nothing lasts forever.	Nada es para siempre.
Think it over.	Piensa en ello.
Trust me.	Confía en mí.
I needed this.	Yo necesitaba esto.
I canceled it.	Yo lo cancelé.
Tom lost weight.	Tom perdió peso.
Life is enjoyable.	La vida es divertida.
I felt invincible.	Me sentí invencible.
I threw up.	Vomité.
Let's play.	Juguemos.
Come aboard.	Sube a bordo.
I postponed the event.	Pospuse el evento.
We're home.	Estamos en casa.
The train stopped.	Se paró el tren.
I ran outside.	Yo corrí afuera.
You know this.	Tú conoces esto.
Why take a chance?	¿Para qué arriesgarnos?
Let's take another vote.	Votemos otra vez.
Don't help Tom.	No ayudes a Tom.
