('regresalo', 'put it back')
('el no revelo su secreto', 'he didn t reveal his secret')
('no llegue a casa hasta las dos y media', 'i didn t get home until')
('no esta mal', 'i kind of like it')
('tom no estaba satisfecho', 'tom wasn t pleased')
('duerme cuanto quieras', 'sleep as long as you want')
('llame por telefono', 'i phoned')
('para perder peso tienes que comer menos dulces', 'to lose weight you must cut back on sweets')
('solo queria que estuvieras al tanto de eso', 'i just wanted you to know that')
('yo me acabo de levantar', 'i just got up')
('extrano a tom y creo que el tambien me echa de menos', 'i miss tom and i think he misses me too')
('tom se alineo con mary', 'tom sided with mary')
('todo es culpa mia', 'this is all entirely my fault')
('puedo dejarte en el aeropuerto esta noche', 'i can drop you off at the airport tonight')
('la reina elizabeth i fallecio en', 'queen elizabeth i passed away in')
('tom y yo trabajamos en el mismo departamento', 'tom and i work in the same department')
('ella estaba asustada del perro en la puerta', 'she was afraid of the dog at the gate')
('este esta limpio', 'this one is clean')
('hay mucha incertidumbre', 'uncertainty is very high')
('yo conozco personas', 'i know people')
('pasamos la noche en un hotel economico', 'we spent the night in a cheap hotel')
('puedo conseguirte todo lo que necesitas', 'i can get you everything you need')
('puede que haya vida en las lunas de jupiter', 'there may be life on the moons of jupiter')
('eso no ayuda mucho', 'that doesn t help very much')
('la guerra se habia acabado oficialmente', 'the war was officially over')
('deseamos algo nuevo', 'we want something new')
('consulte con el acerca de ese problema', 'i consulted him about the matter')
('alguna vez has comido carne de ballena ?', 'have you ever eaten whale meat ?')
('alejenlo de mi', 'get it away from me')
('tom voceo el nombre de mary', 'tom yelled mary s name')
('tom ira sin importar lo que diga mary', 'tom will go no matter what mary says')
('soy un ingeniero', 'i m an engineer')
('el mundo esta lleno de idiotas', 'the world is full of idiots')
('hoy me lo pase muy bien con ustedes', 'i had a great time with you today')
('tom queria saber si mary tenia novio', 'tom wanted to know if mary had a boyfriend')
('las rosas del jardin estan floreciendo', 'the roses in the garden are blooming')
('este bambu es demasiado fino para soportar tanto peso', 'this bamboo is too thin to bear much weight')
('perdi la consciencia', 'i lost consciousness')
('somos profesores', 'we re professors')
('su respuesta me indigno', 'i was outraged by his answer')
('tom se puso una corbata', 'tom put on a tie')
('los resultados eran claros', 'the results were clear')
('se ve que a tom le gusta estar en exteriores', 'tom seems to enjoy being outdoors')
('estaba orgulloso de tom', 'i was proud of tom')
('ha finalizado ya la conferencia ?', 'is the lecture already finished ?')
('esa es la casa en la que me quede', 'that s the house i stayed in')
('yo no lo tengo todavia', 'i haven t got it yet')
('tom parecia tranquilo', 'tom looked calm')
('son muy inteligentes', 'you are very smart')
('no queda mucha mantequilla en el refrigerador', 'there isn t much butter left in the refrigerator')
('tom ceno', 'tom ate dinner')
('los reporteros exigieron saber por que el alcalde no hablaria con ellos', 'the reporters demanded to know why the mayor wouldn t talk to them')
('tom escucho un golpe de la puerta del coche', 'tom heard a car door slam')
('en cuanto a la remuneracion que vas a percibir es este un buen trabajo ?', 'in terms of the pay you will get is this a good job ?')
('no vas a desistir a que no ?', 'you re not giving up are you ?')
('la tierra esta cubierta de bosques', 'the earth is covered with forests')
('ven y echa un vistazo', 'come and take a look')
('que causa esto ?', 'what causes that ?')
('escuchamos disparos', 'we heard gunfire')
('tom apago el fuego', 'tom put out the fire')
('era la primera vez que tom vivia lejos de casa', 'it was tom s first time living away from home')
('como todos los dias a la misma hora', 'i eat lunch at the same time every day')
('cada persona es diferente', 'everybody is different')
('puedes quedarte aqui siempre que te quedes callado', 'as long as you keep quiet you can stay here')
('no puedes simplemente arreglarlo ?', 'can t you just fix it ?')
('podemos hacerlo solos', 'we can do it ourselves')
('tom nos cocina', 'tom cooks for us')
('ellos trataron el tema por telefono', 'they talked about it on the telephone')
('debes irte a casa', 'you must go home')
('tom no quiere que vuelva a pasar lo mismo', 'tom doesn t want the same thing to happen again')
('compre lapices', 'i bought pencils')
('nosotras esperaremos', 'we ll wait')
('no se puede fumar en horas de trabajo', 'you can t smoke during work hours')
('estamos en medio de una crisis', 'we re in the middle of a crisis')
('a quien le daras el primer pedazo de torta ?', 'who will you give the first piece of cake to ?')
('tom tomo algo', 'tom took something')
('esperaba que reprobara el examen', 'i expected him to fail the exam')
('quiero acostarme temprano', 'i want to go to bed early')
('dicen que no pueden competir con los bajos precios de los productos extranjeros', 'they say they cannot compete with low priced foreign products')
('escribe el alfabeto en mayuscula', 'write the alphabet in capitals')
('voy a extranarte cuando te vayas', 'i ll miss you when you re gone')
('no fuma', 'he doesn t smoke')
('no recuerdo haber accedido a eso', 'i don t remember agreeing to that')
('esta es la tienda donde yo trabajaba', 'that is the shop where i used to work')
('puede que tom este fuera', 'tom may be out')
('es egoista y avaricioso', 'he is selfish and greedy')
('ha visto a este hombre ?', 'have you seen this man ?')
('todos mis amigos estan fuera de la ciudad', 'all of my friends are out of town')
('cuantos minutos deberia calentar esto en el microondas ?', 'how long should i microwave this ?')
('mi aficion es escuchar musica', 'my hobby is listening to music')
('por favor dile a tom que llame', 'please tell tom that i called')
('tom es autista', 'tom is autistic')
('ahora tom es un adulto', 'tom is an adult now')
('mi profesor me dijo que deberia haberle dedicado mas tiempo a la preparacion de mi discurso', 'my teacher told me that i should have spent more time preparing my speech')
('estamos evitando a tom', 'we re avoiding tom')
('siempre estoy ocupado con mis tareas', 'i m always busy with my homework')
('acepto vuestro desafio', 'i accept your challenge')
('todas las casas temblaban y las alarmas sonaban en todas partes', 'all the houses were shaking and alarms were ringing everywhere')
('no cedera', 'it won t budge')
('no podia creer lo que oia', 'i couldn t believe my ears')
('ahora lo cacho', 'now i understand')
('confian en ti', 'they trust you')
('has estado alguna vez en australia ?', 'have you ever been to australia ?')
('tom quedo atonito al oir la noticia', 'tom was flabbergasted when he heard the news')
('podria salvarte la vida', 'it may save your life')
('nos superaban en numero', 'we were outnumbered')
('olvida que dije eso', 'forget i said that')
('tom no ha hecho nada de momento', 'tom hasn t done anything so far')
('el siempre le da regalos a su esposa', 'he is always giving presents to his wife')
('estas muy elegante', 'you are very elegant')
('su padre murio cuando tenia tres anos', 'her father died when she was three')
('ese pais es casi dos veces mas grande que japon', 'that country is about twice as large as japan')
('miles davis fue un musico de jazz americano', 'miles davis was an american jazz musician')
('ellos jamas regresaron a su pais', 'they never returned to their country')
('hay un poco de dinero en el saco', 'there s a little money in the bag')
('su mirada expresaba su alegria', 'her look expressed her joy')
('jamas subestimes la intuicion de una mujer', 'never underestimate a woman s intuition')
('me quede dormido', 'i fell asleep')
('no tienes que convencerme a mi tienes que convencer a tom', 'you don t have to convince me you have to convince tom')
('estare libre en minutos', 'i will be free in ten minutes')
('esta maquina es facil de manejar', 'this machine is easy to handle')
('tenia una habitacion con una hermosa vista de las montanas', 'i had a room with a beautiful view of the mountains')
('no he podido convencerle de que era cierto', 'i could not persuade him that it was true')
('la foto fue un engano', 'the photo was a hoax')
('ella decidio estudiar en el extranjero', 'she decided to study abroad')
('hace un poco de frio hoy', 'it s a little cool today')
('intente permanecer levantado toda la noche', 'i tried to stay up all night')
('yo no tengo nada por lo que vivir', 'i have nothing to live for')
('sabes bailar ?', 'do you know how to dance ?')
('trata de ver las cosas como son', 'try to see things as they are')
('tom me reconocio', 'tom recognized me')
('eres un cabezon', 'you re stubborn')
('donde compraste esos zapatos ?', 'where did you buy those shoes ?')
('ella ha estado practicando el piano desde la manana', 'she has been practicing the piano since morning')
('no le deje pulsar este boton', 'don t let him press this button')
('se que estais enamoradas de mi', 'i know that you re in love with me')
('sabia que estarias aqui dentro', 'i knew you d be in here')
('tu perro intento morderme', 'your dog tried to bite me')
('mi pasatiempo es cocinar', 'my hobby is cooking')
('sone la campana', 'i rang the bell')
('ya te he dicho que no fui yo el que lo hizo', 'i ve already told you that i m not the one who did that')
('lo aclamaron como su lider', 'they acclaimed him their leader')
('parece que lo unico que te interesa es el dinero', 'all you seem to think about is money')
('lavate las manos antes de comer', 'wash your hands before you eat')
('no uses mi boligrafo', 'don t use my pen')
('mi hermano menor mira la television', 'my younger brother is watching tv')
('no sabia que estabas ocupado', 'i didn t know you were busy')
('tengo que aprender a jugar al ajedrez', 'i have to learn to play chess')
('el siempre trabaja mucho', 'he always works a lot')
('estudiar una lengua extranjera es dificil', 'studying a foreign language is hard')
('tiene un bulto en la cabeza', 'he has a swelling on his head')
('sos una mala persona', 'you are a bad person')
('como estuvo la boda ?', 'how was the wedding ?')
('se que eres rica', 'i know that you re rich')
('estare alli en seguida', 'i ll be there right away')
('este es un buen sushi', 'this is good sushi')
('estamos en grave riesgo', 'we re in grave danger')
('segun ella el no ira', 'according to her he will not go')
('el accidente le quito todas las esperanzas de exito', 'the accident destroyed all his hopes for success')
('ella se fue a europa por los estados unidos', 'she went to europe via america')
('tom no tiene muchos amigos', 'tom doesn t have a lot of friends')
('al ping pong tambien se le llama tenis de mesa', 'ping pong is also called table tennis')
('como has estado ?', 'how have you been ?')
('si hubiera sido un pajaro podria haber volado hasta ti', 'if he had been a bird he could have flown to you')
('tom hizo eso delante de todos', 'tom did that in front of everybody')
('ellos se adaptaron rapido a las nuevas circunstancias', 'they soon adjusted themselves to the new circumstances')
('intenta calmarte', 'try and calm down')
('salgamos todos a bailar esta noche', 'tonight let s all go dancing')
('que recomendaste ?', 'what did you recommend ?')
('estoy muy entusiasmado con eso', 'i m very excited about it')
('tom me enseno frances', 'tom taught me french')
('se abrio la puerta y entro un hombre', 'the door opened and a man came in')
('quereis otra taza de cafe ?', 'do you want another cup of coffee ?')
('el sumo es un deporte tradicional japones', 'sumo is a traditional japanese sport')
('corre', 'you run')
('que vienes ?', 'well are you coming ?')
('hay un zoologico en boston ?', 'is there a zoo in boston ?')
('ten un buen viaje !', 'have a nice trip !')
('yo se conducir un coche pero tom no', 'i can drive a car but tom can t')
('tom vivio en boston hasta los diez anos', 'tom lived in boston until he was ten years old')
('limitate a dormir', 'just go to sleep')
('tom practica magia negra', 'tom practices black magic')
('eso podria ayudar', 'that might help')
('solo tenemos una oportunidad', 'we have only one chance')
('agradecemos tus comentarios', 'thanks for your comments')
('por que llevas puesto un traje de bano ?', 'why are you wearing a bathing suit ?')
('llame antes', 'i called earlier')
('los domingos siempre esta en casa', 'he s always at home on sundays')
('llegamos primero', 'we arrived first')
('espana goberno las islas filipinas en otro tiempo', 'spain once governed the philippine islands')
('tom esta entrenando a su perro', 'tom is training his dog')
('tom no habla mucho de cuando era joven', 'tom doesn t talk much about when he was young')
('me gustaria empezar cuanto antes', 'i d like to get started')
('tom no ha oido de mary', 'tom hasn t heard from mary')
('podria traernos la carta de postres por favor ?', 'could you bring us the dessert menu please ?')
('que estaba haciendo tu madre cuando llegaste a casa ?', 'what was your mother doing when you came home ?')
('su casa esta al otro lado del puente', 'his house is on the other side of the bridge')
('tom acaba de salir de la ducha y todavia tiene el pelo mojado', 'tom just got out of the bath and his hair is still wet')
('puedo tomarlo prestado durante unas dos semanas ?', 'can i borrow it for about two weeks ?')
('no estas escuchando', 'you re not listening')
('la verdad no creo que quieras saberlo', 'i don t think you really want to know')
('olvide escribir la fecha ?', 'did i forget to write the date ?')
('dijo que su marido le habia pegado pero en realidad fue al reves', 'she said that her husband hit her but in fact it was the other way around')
('me gustaria que tom estuviera hoy aqui con nosotros', 'i wish tom was here with us today')
('tom estaba en la cabana', 'tom was in the cabin')
('tenia frio', 'i felt cold')
('ella me dejo esperando minutos', 'she kept me waiting for half an hour')
('crees que realmente se rendira ?', 'do you think he will really give up ?')
('quieres anadir algo a lo que he dicho ?', 'would you like to add anything to what i ve said ?')
('tom esta haciendo un buen progreso', 'tom is making good progress')
('tom deberia haber hecho algo', 'tom should ve done something')
('no te cacho', 'i can t make out what you re saying')
('parte de su relato es verdad', 'part of his story is true')
('tom se quedo soltero toda su vida', 'tom remained single all his life')
('le debo algo de dinero', 'i owe him some money')
('como lograste eso ?', 'how did you accomplish that ?')
('la ciudad suministro alimento para los ninos', 'the city supplied food for the children')
('ni siquiera estoy segura de si esta es mi llave', 'i m not even sure if this is my key')
('necesito hacerte algunas preguntas', 'i need to ask you some questions')
('me siento totalmente fuera de lugar', 'i feel so out of place')
('quiero conocer a tom', 'i want to meet tom')
('tienes que pagar para eso', 'you have to pay for that')
('me van a echar del pais', 'they re going to kick me out of the country')
('el tren fue a traves del tunel', 'the train went through a tunnel')
('la escuela empieza a las nueve y termina a las seis', 'school begins at nine and is over at six')
('que esta haciendo aqui mi libro ?', 'what s my book doing here ?')
('tom es un valiente paracaidista', 'tom is a brave skydiver')
('estas diciendo que no queres ir ?', 'are you saying you don t want to go ?')
('tom le echo una mirada asesina a mary y despues se fue de la habitacion', 'tom gave mary a dirty look and then left the room')
('cuando deberia dejar de darle de comer comida de cachorro a mi perro ?', 'when should i stop feeding my dog puppy food ?')
('el contrato expirara pronto', 'the contract will expire soon')
('los asiaticos comen mucho arroz', 'asians eat a lot of rice')
('no te abandonare', 'i am not leaving you')
('los delegados votaron seis veces', 'the delegates voted six times')
('vas al gimnasio ?', 'do you go to the gym ?')
('como descubrio eso ?', 'how did you discover that ?')
('la fabrica produce miles de botellas al mes', 'the factory produces thousands of bottles every month')
('conozco a alguien que vive en tu barrio', 'i know someone who lives in your neighborhood')
('soy el unico que sobrevivio', 'i m the only one who survived')
('he perdido la llave', 'i have lost my key')
('yo quiero ir con tom', 'i want to go with tom')
('los medicos realizan un juramento de no lastimar a nadie', 'doctors take an oath not to harm anyone')
('lo veras', 'you ll see it')
('detesto cortar el cesped', 'i hate mowing the lawn')
('el tren esta completamente lleno hoy', 'the train is packed today')
('no bebas demasiado de acuerdo ?', 'don t drink too much okay ?')
('te gusta ese sofa ?', 'do you like that sofa ?')
('tom no vive aqui', 'tom doesn t live here')
('lo anoro', 'i miss it')
('el estaba sentado ahi con una pipa en la boca', 'he was sitting there with a pipe in his mouth')
('quiero que te quedes con esto', 'i want you to have this')
('estoy totalmente en desacuerdo contigo', 'i completely disagree with you')
('muestrame esa lista', 'show me that list')
('queria aprender del mejor', 'i wanted to learn from the best')
('tom le creia a maria', 'tom believed mary')
('tom cogio ese habito de su padre', 'tom picked up that habit from his father')
('maria tiene sus problemas', 'mary has her problems')
('debiste haberme contado antes el problema', 'you should ve told me what the problem was earlier')
('ella tiene la mente abierta', 'she s open minded')
('lo que dijiste fue muy interesante', 'what you said was very interesting')
('que hay de nuevo ?', 'what is new ?')
('por favor paga al cajero', 'please pay the cashier')
('necesito saber a quien tengo que entregarle esto', 'i need to know who i have to give this to')
('tom no parece viejo', 'tom doesn t look old')
('solo dejame solo', 'just leave me alone')
('tengo de fiebre', 'i have a fever of degrees')
('el no es estupido', 'he is not stupid')
('nosotros disparamos a un ciervo', 'we hit a deer')
('el viaje en tren fue corto', 'the train ride was short')
('tenemos que tumbarnos en el suelo ?', 'do we have to lie flat on the ground ?')
('es absurdo no admitir tus errores', 'it s absurd never to admit your mistakes')
('tal vez el venga manana', 'maybe he ll come tomorrow')
('sera dificil convencer a tom de que nos ayude', 'it ll be hard to convince tom to help us')
('estabamos borrachos', 'we were drunk')
('me gustan los camellos', 'i like camels')
('somos historiadores', 'we re historians')
('tom no entiende por que maria es tan popular', 'tom doesn t understand why mary is so popular')
('me encanta jugar al solitario', 'i love playing solitaire')
('circunstancias desfavorables me impidieron viajar', 'unfavorable circumstances prevented me from traveling')
('mi padre planto este arbol el ano en que naci', 'my father planted this tree the year i was born')
('voy a hacer una pasantia en una empresa local', 'i m going to do an internship at a local company')
('quien se comio todas las galletitas ?', 'who ate all the cookies ?')
('mi despertador no sono esta manana por lo que llegue tarde a la escuela', 'my alarm clock didn t go off this morning so i was late for school')
('tom queria que mary supiera que el no la odiaba', 'tom wanted mary to know that he didn t hate her')
('tom hace ejercicio', 'tom exercises')
('el jardin estaba lleno de flores amarillas', 'the garden was full of yellow flowers')
('me gustaria escuchar musica pop', 'i d like to listen to pop music')
('el atasco lo motivo un accidente de coche', 'the traffic jam was caused by a car crash')
('numerosas estrellas eran visibles en el cielo', 'numerous stars were visible in the sky')
('el cazador disparo a un oso', 'the hunter shot a bear')
('ella es una exitosa mujer de negocios', 'she s a successful businesswoman')
('por mas extrano que pueda sonar lo que tom dijo es verdad', 'as strange as it may sound what tom said is true')
('tienes nietos ?', 'do you have any grandchildren ?')
('dudo que tom me recuerde', 'i doubt that tom would remember me')
('ella le aconsejo que no condujera demasiado rapido pero el no la escucharia', 'she advised him not to drive too fast but he wouldn t listen to her')
('el viento sopla como un loco', 'the wind is blowing like crazy')
('quiero que tengas exito', 'i want you to succeed')
('estoy interesado en la ceramica oriental', 'i m interested in oriental pottery')
('esa es la primera vez que me pasa eso', 'that s the first time that s happened to me')
('aunque ha estado en el hospital el mantuvo el ritmo de los demas estudiantes', 'though he had been in the hospital he kept up with other students')
('los detendremos', 'we ll stop them')
('nos sentamos en un banco en el parque', 'we sat on a bench in the park')
('estas loco ?', 'are you nuts ?')
('largate !', 'go away')
('baila conmigo', 'dance with me')
('por favor compra un tubo de pasta de dientes', 'please buy a tube of toothpaste')
('prueba con algo de caviar', 'try some caviar')
('el techo de mi casa es rojo', 'the roof of my house is red')
('mi abuela vivia con nosotros', 'my grandmother lived with us')
('a que hora te has levantado esta manana ?', 'what time did you get up this morning ?')
('no quiero casarme contigo', 'i don t want to marry you')
('odia hablar en publico', 'she detests speaking in public')
('el siguio leyendo un libro', 'he kept reading a book')
('usted esta manejando muy rapido', 'you re driving too fast')
('tom fue a boston el ano pasado', 'tom went to boston last year')
('los hermanos deben ayudarse y protegerse siempre', 'siblings must always help and protect each other')
('no tengo nada para darte', 'i don t have anything to give you')
('perdio a dos hijos en la guerra', 'he lost two sons in the war')
('su novela ha sido traducida al japones', 'her novel was translated into japanese')
('tomas le pelo una manzana a maria', 'tom peeled an apple for mary')
('no es ninguna broma', 'it s not a joke')
('hombres perros peces y aves todos son animales', 'men dogs fish and birds are all animals')
('este es mi padre', 'this is my father')
('aviones enemigos bombardearon la ciudad', 'the city was bombed by enemy planes')
('tom siempre lleva un mapa y un compas en su mochila', 'tom always carries a map and compass in his bag')
('tom esta viendo un video', 'tom is watching a video')
('cuando esperas que vuelva ?', 'when do you expect him back ?')
('son extranjeros', 'they re foreigners')
('esta escuela no tiene calefaccion', 'this school has no heating')
('tom todavia no se ha aprendido del todo las reglas del juego', 'tom still hasn t quite learned the rules of the game')
('un dia lo lamentaras', 'some day you ll regret this')
('el melocotonero es hermoso cuando esta en flor', 'the peach tree is beautiful when in flower')
('por favor dime la verdad', 'tell me the truth please')
('para que quieres un coche si no lo conduces ?', 'what s the good of having a car if you don t drive ?')
('tom me dijo que dejo de ir al doctor', 'tom told me he stopped going to the doctor')
('aparentemente tom es alguna clase de genio cuando se trata de musica', 'tom is apparently some kind of genius when it comes to music')
('que pasa troncos ?', 'hi guys')
('se que tom estuvo desconcertado por eso', 'i know tom was baffled by that')
('esperabamos mejores condiciones', 'we expected better terms')
('tom murio en un accidente', 'tom died in an accident')
('como te fue en el examen ?', 'how did you do on your exam ?')
('necesito tres copias de esta carta', 'i need three copies of this letter')
('lo que me gusta es su forma de hablar', 'what i like is her way of talking')
('quien sabe lo que podria pasar en el futuro ?', 'who knows what might happen in the future ?')
('mira es la estrella polar', 'look it s the north star')
('esta en boston ?', 'are you in boston ?')
('es un engendro', 'it s an eyesore')
('podrias sacar al perro a pasear ?', 'could you please take the dog out for a walk ?')
('no funciono', 'it didn t work')
('ella sufre una enfermedad cronica', 'she suffers from a chronic illness')
('esta va a ser una mision muy peligrosa', 'this will be a very dangerous mission')
('ella explico sus ideas con imagenes', 'she explained her ideas with images')
('la fortaleza era verdaderamente inexpugnable', 'the fortress was truly impenetrable')
('no soy el unico al que le gusta tom', 'i m not the only one who likes tom')
('tom se sento encarando a mary', 'tom sat facing mary')
('pidele a tom que traiga a mary manana', 'ask tom to bring mary tomorrow')
('hazmelo con cuidado', 'please be gentle')
('tom estas despierto ?', 'tom are you awake ?')
('estoy leyendo cuentos cortos', 'i am reading short stories')
('hoy tom esta de mal humor', 'tom is in a foul mood today')
('no sabia que estaba casada', 'i didn t know she was married')
('dejas que tus ninos beban cafe ?', 'do you let your children drink coffee ?')
('le hare saber mi decision cuando consulte con mi abogado', 'i ll let you know my decision after i ve consulted my lawyer')
('creo que estamos cerca de resolver este problema', 'i think we re close to solving this problem')
('tom no hace nada', 'tom doesn t do anything')
('quiero un dolar', 'i want a dollar')
('necesitamos tomar una muestra de sangre', 'we need to get a blood sample')
('he sido profesor durante mucho tiempo', 'i ve been a teacher a long time')
('siempre me doy una ducha por la manana', 'i always take a shower in the morning')
('lavate las manos', 'wash your hands')
('esas son las gafas de sol que pense que habia perdido', 'those are the sunglasses i thought i d lost')
('ella le entiende', 'she understands him')
('mary interpreto el papel de anciana en la obra de teatro', 'mary played the role of an old woman in the play')
('por favor vente', 'please come over')
('por que no atendias ?', 'why didn t you answer ?')
('tom era muy afortunado', 'tom was very lucky')
('parecia demasiado bueno para ser verdad', 'it seemed too good to be true')
('no estaba preparado para ir', 'i wasn t ready to go')
('mi jefe me acaba de despedir', 'my boss just fired me')
('la leche es nutritiva', 'milk is nutritious')
('te pusieron la vacuna contra la gripe esta temporada ?', 'did you receive your flu shot this season ?')
('este es un caso muy dificil', 'this is a very difficult case')
('si eres tan exigente con los demas deberias serlo tambien contigo mismo', 'if you re so demanding of others you should also be demanding of yourself')
('la fundicion de la estatua se retraso', 'the casting of the statue was delayed')
('tom le pidio a mary que se llegara hasta boston', 'tom asked mary to come to boston')
('este libro es demasiado complicado para leerlo en una semana', 'this book is too difficult to read in a week')
('nadie abrazo a tom', 'nobody hugged tom')
('estoy muy preocupado por mi hijo', 'i m really worried about my child')
('ella estuvo inconsciente durante todo el dia que siguio al accidente', 'she was unconscious for a whole day after the accident')
('ya que tu preparaste la comida yo fregare los platos', 'since you did the cooking i ll do the dishes')
('rara vez oigo de el', 'i seldom hear from him')
('que tiene eso de malo ?', 'what s wrong with that ?')
('su explicacion no es clara', 'his explanation really isn t clear')
('quiero estar aca cuando tom se despierte', 'i want to be here when tom wakes up')
('tienes una habitacion muy bonita', 'you have a very nice room')
('hemos considerado detenidamente ambas alternativas', 'we ve given careful thought to both alternatives')
('no me hagas responder esa pregunta', 'don t make me answer that question')
('si ella no hubiera estudiado ingles aqui no habria pasado el examen', 'if she had not studied english here she could not have passed the examination')
('la mayoria de las personas que trabajan aqui son voluntarios', 'most of the people working here are unpaid volunteers')
('quiero otra oportunidad', 'i want another chance')
('puedes llamarme a cualquier hora', 'you may call me anytime')
('oye tu ! que estas haciendo ?', 'hey you ! what are you doing ?')
('encontraron la joya en un lugar inesperado', 'the jewel was found in an unlikely place')
('tom no esperaba eso', 'tom didn t expect that')
('el no lo compro al fin y al cabo', 'he did not buy it after all')
('estoy divorciada', 'i m divorced')
('la mayoria de ellos son canadienses', 'most of them are canadians')
('por que sabes tanto de mi ?', 'why do you know so much about me ?')
('me mantengo pensando en tom', 'i keep thinking about tom')
('no respondiste a mi pregunta', 'you didn t answer my question')
('no es un montaje', 'it s not a fake')
('tienen un muy buen curriculo en esa universidad', 'they have a very good curriculum at that university')
('pienso que tom es muy joven para jubilarse', 'i think tom is too young to retire')
('intenta explicarle eso a tom', 'try explaining that to tom')
('a que grupo te quieres unir ?', 'which group do you want to join ?')
('el es la ultima persona que romperia su promesa', 'he is the last person to break his promise')
('le multo el juez con cinco dolares', 'the judge fined him five dollars')
('no quiero ver la television esta noche', 'i don t want to watch television this evening')
('voy a despegar este sello con agua caliente', 'i m going to take off this stamp with hot water')
('quien fundo disneyland ?', 'who started disneyland ?')
('deberia relajarse un poco', 'you should relax a little')
('es mas que probable que me despidan por hacerlo', 'i m likely going to be fired for doing that')
('puedo hacerlo con una mano', 'i can do it with one hand')
('no le dijimos a tom que se quedara', 'we didn t tell tom to stay')
('ella hizo todo lo que pudo para rescatarlo', 'she did her best to rescue him')
('no se podia ver ninguna estrella en el cielo', 'not a single star could be seen in the sky')
('nuestro colegio abandono los uniformes el ano pasado', 'our school did away with uniforms last year')
('ella fuma como un carretero', 'she smokes a lot')
('se me forzo a firmar el documento', 'i was forced to sign the paper')
('el medico me tomo el pulso', 'the doctor took my pulse')
('no estoy segura de si quiero tocar eso', 'i m not sure i want to touch that')
('tom queria que mary limpiara su cuarto', 'tom wanted mary to clean her room')
('no puedo cambiar lo que soy o lo que hice', 'i can t change who i am or what i ve done')
('tom no quiere tratar este problema ahora', 'tom doesn t want to deal with this problem now')
('si no te das prisa perderas el tren', 'if you don t hurry you ll miss the train')
('nos alegramos de tenerte con nosotros', 'we re glad to have you with us')
('pareces tener recursos', 'you seem resourceful')
('preparare algo de cafe', 'i ll make some coffee')
('creo que ya no vas a necesitar que te ayude', 'i don t think you re going to need me to help you anymore')
('el bebe ha estado llorando durante mucho tiempo', 'the baby has been crying for a long time')
('meti mi dedo en la miel', 'i dipped my finger into the honey')
('esto no es cierto', 'this is not true')
('fue testigo del accidente de camino a su colegio', 'he witnessed the accident on his way to school')
('se fue inmediatamente', 'he left immediately')
('obtendre mi diploma en dos anos', 'i ll get my diploma in two years')
('ese libro se agoto', 'that book sold out')
('esas son mias', 'those are mine')
('el tuyo era mejor', 'yours was better')
('lea su declaracion antes de firmarla', 'read your statement before you sign it')
('por que no vienen ?', 'why aren t they coming ?')
('estoy demasiado liado para ayudarle a hacer eso', 'i m too busy to help you do that')
('por la noche no me gusta salir solo', 'i don t like going out by myself at night')
('preferiria quedarme en lugar de irme', 'i d rather stay than go')
('a tom no le gusta la manera en que mary se rie', 'tom doesn t like the way mary laughs')
('el se escondio detras del arbol', 'he hid behind the tree')
('yo nunca habria hecho dano a tom', 'i d never hurt tom')
('es interesante jugar al futbol', 'it is interesting to play soccer')
('nada es imposible para dios', 'nothing is impossible for god')
('lo sabia', 'i knew that')
('nada de esto me sorprende', 'none of these things surprise me')
('crees que podrias ensenarme a tocar la gaita ?', 'do you think you could teach me to play the bagpipes ?')
('estas a favor o en contra del proyecto ?', 'are you for or against the project ?')
('ellos quieren estar contigo', 'they want to be with you')
('yo necesite esto', 'i needed this')
('tom pago las entradas', 'tom paid for the tickets')
('quiero estudiar frances', 'i d like to study french')
('que concepto !', 'what a concept !')
('ella siempre mantiene su habitacion en orden', 'she always keeps her room in good order')
('no he sabido de tom', 'i haven t heard from tom')
('tom termino casandose con mary a fin de cuentas', 'tom ended up marrying mary after all')
('quien te crees que eres tu ?', 'who in the world do you think you are ?')
('para que quieres eso ?', 'what do you want that for ?')
('no eres tan guapa como te crees', 'you re not as beautiful as you think you are')
('tomas es un famoso retratista', 'tom is a famous portrait painter')
('tom es ridiculo', 'tom is ridiculous')
('que idea tan novedosa !', 'what a novel idea !')
('dicen que el lleva dos anos muerto', 'they say that he has been dead for two years')
('conoces al chico que esta alli parado ?', 'do you know that boy standing over there ?')
('nunca voy a dejar de amarte', 'i m never going to stop loving you')
('me arrepiento de mis actos', 'i regret my actions')
('me puedes llevar ahi ?', 'can you take me there ?')
('solo unas pocas personas no fueron', 'only a few people didn t go there')
('ahi viene ella', 'there she comes')
('esperanos', 'wait for us')
('es estupido de tu parte cometer semejante error', 'it is stupid of you to make such a mistake')
('esta oracion se puede traducir de diferentes maneras', 'this sentence can be translated in several ways')
('tenemos que ocuparnos de eso', 'we ve got to take care of it')
('tengo la sensacion de que falta algo en mi vida', 'i have a feeling that something is lacking in my life')
('llevas la camisa al reves', 'your shirt is inside out')
('pense que habias dicho que estabas sola', 'i thought you said you were alone')
('aqui esta ella !', 'here she is !')
('el nino intento ser un hombre y no llorar', 'the boy tried to be a man and not cry')
('tom solo esta intentando ser romantico no ?', 'tom is just trying to be romantic isn t he ?')
('hablo estando dormido', 'i talk in my sleep')
('ella se quejo de que la pieza estaba muy calurosa', 'she complained of the room being too hot')
